Name,Year,Genre,Publisher,North America,Europe,Japan,Other,Global
God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,2015,Misc,Namco Bandai Games,0,0,0.03,0,0.03
Psycho-Pass: Mandatory Happiness,2016,Adventure,Nippon Ichi Software,0.02,0,0,0,0.03
Omega Quintet,2014,Role-Playing,Compile Heart,0,0,0.02,0,0.02
Blade Arcus from Shining EX,2015,Fighting,Sega,0,0,0.02,0,0.02
Tokyo Xanadu eX+,2016,Role-Playing,Nihon Falcom Corporation,0,0,0.02,0,0.02
Prison Architect,2016,Action,Introversion Software,0.01,0.01,0,0,0.02
Rugby League Live 3,2015,Action,Tru Blu Entertainment,0,0.02,0,0,0.02
Aegis of Earth: Protonovus Assault,2016,Action,PQube,0.02,0,0,0,0.02
Dead Rising,2016,Action,Capcom,0.01,0,0,0,0.02
Anima - Gate of Memories,2016,Action,Avanquest,0,0.02,0,0,0.02
Resident Evil: Umbrella Corps,2016,Action,Capcom,0,0,0.02,0,0.02
Legend of Kay Anniversary,2015,Action,Nordic Games,0,0.02,0,0,0.02
Dino Dini's Kick Off Revival,2016,Sports,Avanquest,0,0.02,0,0,0.02
Natsuiro High School: Seishun Hakusho,2015,Action,D3Publisher,0,0,0.02,0,0.02
Black Rose Valkyrie,2016,Role-Playing,Idea Factory,0,0,0.02,0,0.02
Agatha Christie's The ABC Murders,2016,Adventure,Microids,0.01,0.01,0,0,0.02
The Talos Principle,2015,Puzzle,Devolver Digital,0,0.02,0,0,0.02
Rabbids Invasion: The Interactive TV Show,2014,Misc,Ubisoft,0,0.01,0,0,0.02
Winning Post 8 2016,2016,Simulation,Tecmo Koei,0,0,0.02,0,0.02
This War of Mine,2016,Action,Deep Silver,0,0.01,0,0,0.02
Assault Suit Leynos,2016,Shooter,Rising Star Games,0.01,0,0,0,0.02
Koihime Enbu,2016,Fighting,Yeti,0,0,0.02,0,0.02
Professional Farmer 2016,2015,Action,Namco Bandai Games,0,0.01,0,0,0.02
Worms: WMD,2016,Action,Sold Out,0.01,0.01,0,0,0.02
Touhou Genso Rondo: Bullet Ballet,2016,Shooter,Nippon Ichi Software,0.01,0,0,0,0.02
God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,2016,Action,Namco Bandai Games,0,0,0.01,0,0.01
Raven's Cry,2015,Role-Playing,TopWare Interactive,0,0.01,0,0,0.01
God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,2016,Misc,Namco Bandai Games,0,0,0.01,0,0.01
Resident Evil 5 HD,2016,Action,Capcom,0.01,0,0,0,0.01
Dragon's Dogma Online: Season 2,2016,Action,Capcom,0,0,0.01,0,0.01
Republique,2016,Action,Nippon Ichi Software,0,0.01,0.01,0,0.01
Dynasty Warriors: Eiketsuden,2016,Action,Tecmo Koei,0,0,0.01,0,0.01
Paragon,2016,Action,Epic Games,0.01,0,0,0,0.01
Chaos;Child,2015,Adventure,5pb,0,0,0.01,0,0.01
God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7,2016,Action,Namco Bandai Games,0,0,0.01,0,0.01
Farming 2017 - The Simulation,2016,Simulation,UIG Entertainment,0,0.01,0,0,0.01
