Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Tales of Xillia 2,2012,Role-Playing,Namco Bandai Games,0.2,0.15,0.45,0.07,0.87
Darksiders II,2012,Action,THQ,0.35,0.37,0.01,0.14,0.86
Ghostbusters: The Video Game,2009,Action,Sony Computer Entertainment,0.34,0.37,0,0.15,0.86
The Lord of the Rings: War in the North,N/A,Action,Warner Bros. Interactive Entertainment,0.25,0.45,0.01,0.15,0.86
Dragon Ball Z: Burst Limit,2008,Fighting,Atari,0.22,0.34,0.18,0.12,0.86
Ninja Gaiden Sigma 2,2009,Action,Ubisoft Annecy,0.52,0.16,0.08,0.1,0.86
Skate 2,2009,Sports,Electronic Arts,0.46,0.26,0.01,0.12,0.85
Army of Two: The 40th Day,2010,Shooter,Electronic Arts,0.44,0.27,0.01,0.12,0.85
WWE 2K15,2014,Sports,Take-Two Interactive,0.36,0.35,0,0.14,0.85
Tiger Woods PGA Tour 11,2010,Sports,Electronic Arts,0.37,0.34,0,0.13,0.84
Devil May Cry HD Collection,2012,Action,Capcom,0.42,0.21,0.11,0.1,0.84
NBA 2K10,2009,Sports,Take-Two Interactive,0.75,0.01,0.01,0.07,0.84
NCAA Football 11,2010,Sports,Electronic Arts,0.79,0,0,0.06,0.84
Dragon Age II,2011,Action,Electronic Arts,0.4,0.27,0.05,0.12,0.84
Street Fighter X Tekken,2012,Fighting,Capcom,0.42,0.22,0.1,0.1,0.84
Time Crisis 4,2007,Shooter,Namco Bandai Games,0.32,0.33,0.05,0.14,0.84
NCAA Football 12,2011,Sports,Electronic Arts,0.78,0,0,0.05,0.83
The Amazing Spider-Man (Console Version),2012,Action,Activision,0.31,0.37,0,0.14,0.83
Dragon Ball: Raging Blast 2,2010,Fighting,Namco Bandai Games,0.42,0.2,0.11,0.09,0.83
DmC: Devil May Cry,2013,Action,Capcom,0.24,0.28,0.19,0.12,0.82
Guitar Hero: Warriors of Rock,2010,Misc,Activision,0.33,0.35,0,0.14,0.82
Madden NFL 16,2015,Sports,Electronic Arts,0.56,0.11,0,0.15,0.82
SingStar Vol. 2,2008,Misc,Sony Computer Entertainment,0.29,0.4,0,0.13,0.82
Twisted Metal (2012),2012,Action,Sony Computer Entertainment,0.67,0.07,0,0.07,0.82
Lego Batman 3: Beyond Gotham,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.35,0,0.13,0.81
NCAA Football 10,2009,Sports,Electronic Arts,0.75,0,0,0.06,0.81
NCAA Football 14,2013,Sports,Electronic Arts,0.75,0,0,0.06,0.8
Goldeneye 007: Reloaded,2011,Shooter,Activision,0.33,0.35,0,0.13,0.8
NBA 2K16,2015,Sports,Take-Two Interactive,0.44,0.19,0.03,0.13,0.8
Resident Evil: Revelations,2013,Action,Capcom,0.14,0.32,0.22,0.12,0.8
Sniper: Ghost Warrior,2011,Shooter,City Interactive,0.26,0.36,0.04,0.14,0.8
The Walking Dead: Season One,2012,Adventure,Avanquest Software,0.4,0.25,0.03,0.11,0.79
Tiger Woods PGA Tour 10,2009,Sports,Electronic Arts,0.42,0.25,0,0.12,0.79
Sid Meier's Civilization Revolution,2008,Strategy,Take-Two Interactive,0.49,0.19,0.01,0.1,0.79
God of War Saga,2012,Action,Sony Computer Entertainment,0.72,0,0,0.06,0.78
Duke Nukem Forever,2011,Shooter,Take-Two Interactive,0.33,0.31,0,0.12,0.77
Dragon Ball: Raging Blast,2009,Fighting,Namco Bandai Games,0.37,0.19,0.11,0.1,0.77
Plants vs. Zombies: Garden Warfare,2014,Shooter,Electronic Arts,0.22,0.4,0.01,0.14,0.76
SoulCalibur V,2012,Fighting,Namco Bandai Games,0.35,0.24,0.07,0.1,0.76
The Lord of the Rings: Conquest,2009,Action,Electronic Arts,0.38,0.26,0,0.12,0.76
Kane & Lynch: Dead Men,2007,Shooter,Eidos Interactive,0.29,0.32,0.01,0.13,0.76
Genji: Days of the Blade,2006,Action,Sony Computer Entertainment,0.18,0.38,0.06,0.14,0.76
Band Hero,2009,Misc,Activision,0.41,0.24,0,0.11,0.75
DJ Hero 2,2010,Misc,Activision,0.47,0.19,0,0.09,0.75
The Godfather II,2009,Action,Electronic Arts,0.41,0.22,0.01,0.11,0.75
[Prototype 2],2012,Action,Activision,0.36,0.28,0,0.11,0.75
Red Faction: Guerrilla,2009,Shooter,THQ,0.33,0.28,0.02,0.12,0.75
X-Men Origins: Wolverine - Uncaged Edition,2009,Action,Activision,0.31,0.32,0,0.13,0.75
Split/Second,2010,Racing,Disney Interactive Studios,0.31,0.31,0.01,0.12,0.75
LittleBigPlanet 3,2014,Platform,Sony Computer Entertainment,0.2,0.43,0.01,0.11,0.75
Marvel: Ultimate Alliance 2,2009,Role-Playing,Activision,0.49,0.16,0,0.09,0.75
Ace Combat: Assault Horizon,2011,Action,Namco Bandai Games,0.3,0.16,0.22,0.07,0.74
Resonance of Fate,2010,Role-Playing,Sega,0.2,0.22,0.24,0.09,0.74
Brink,2011,Shooter,Bethesda Softworks,0.29,0.32,0.01,0.12,0.74
Blur,2010,Racing,Activision,0.22,0.37,0.02,0.13,0.74
Naruto Shippuden: Ultimate Ninja Storm Generations,2012,Fighting,Namco Bandai Games,0.27,0.25,0.14,0.08,0.74
Pirates of the Caribbean: At World's End,2007,Action,Disney Interactive Studios,0.17,0.41,0,0.15,0.74
Tiger Woods PGA Tour 08,2007,Sports,Electronic Arts,0.22,0.38,0,0.14,0.74
Persona 4: Arena,2012,Fighting,Atlus,0.3,0.12,0.24,0.07,0.74
Star Ocean: The Last Hope International,2010,Role-Playing,Square Enix,0.28,0.16,0.22,0.08,0.73
Ratchet & Clank Collection,2012,Action,Sony Computer Entertainment,0.47,0.14,0.02,0.09,0.73
James Bond 007: Blood Stone,2010,Shooter,Activision,0.18,0.38,0.02,0.13,0.72
MLB 09: The Show,2009,Sports,Sony Computer Entertainment,0.66,0,0,0.05,0.72
Catherine,2011,Adventure,Deep Silver,0.3,0.15,0.2,0.07,0.72
MLB 13: The Show,2013,Sports,Sony Computer Entertainment,0.66,0,0,0.05,0.71
Top Spin 4,2011,Sports,Take-Two Interactive,0.17,0.4,0,0.14,0.71
Dynasty Warriors 6,2007,Action,Tecmo Koei,0.18,0.08,0.41,0.04,0.71
MLB 10: The Show,2010,Sports,Sony Computer Entertainment,0.66,0,0,0.05,0.71
Ratchet & Clank: Into the Nexus,2013,Shooter,Sony Computer Entertainment,0.3,0.29,0,0.11,0.71
2014 FIFA World Cup Brazil,2014,Sports,Electronic Arts,0.15,0.39,0.01,0.16,0.71
London 2012: The Official Video Game of the Olympic Games,2012,Sports,Sega,0.06,0.5,0,0.15,0.7
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",2009,Shooter,Activision,0.28,0.3,0,0.12,0.7
Prince of Persia: The Forgotten Sands,2010,Action,Ubisoft,0.19,0.36,0.01,0.13,0.7
IL-2 Sturmovik: Birds of Prey,2009,Simulation,505 Games,0.34,0.26,0,0.1,0.7
Book of Spells,2012,Action,Sony Computer Entertainment,0.13,0.4,0,0.16,0.7
Metal Gear Solid V: The Phantom Pain,2015,Action,Konami Digital Entertainment,0.21,0.18,0.22,0.08,0.7
MLB 08: The Show,2008,Sports,Sony Computer Entertainment,0.64,0,0,0.05,0.7
Minecraft: Story Mode,2015,Adventure,Mojang,0.25,0.33,0,0.11,0.69
Skylanders: Trap Team,2014,Action,Activision,0.24,0.33,0,0.12,0.69
The Sly Collection,2010,Platform,Sony Computer Entertainment,0.52,0.09,0.01,0.07,0.69
One Piece: Pirate Warriors 2,2013,Action,Namco Bandai Games,0,0.2,0.42,0.07,0.69
Need for Speed: Shift 2 Unleashed,2011,Racing,Electronic Arts,0.2,0.36,0,0.13,0.69
Iron Man,2008,Action,Sega,0.32,0.25,0,0.11,0.68
Spider-Man 3,2007,Platform,Activision,0.26,0.29,0.02,0.12,0.68
Turok,2008,Action,Touchstone,0.35,0.22,0.01,0.1,0.68
Unreal Tournament III,2007,Shooter,Midway Games,0.33,0.24,0,0.11,0.67
Lollipop Chainsaw,2012,Action,Warner Bros. Interactive Entertainment,0.26,0.21,0.11,0.09,0.67
The Darkness,2007,Shooter,Take-Two Interactive,0.2,0.34,0,0.13,0.67
Blazing Angels: Squadrons of WWII,2006,Simulation,Ubisoft,0.35,0.22,0,0.1,0.67
Borderlands: The Pre-Sequel,2014,Shooter,Take-Two Interactive,0.25,0.26,0.05,0.11,0.67
Shaun White Snowboarding,2008,Sports,Ubisoft,0.31,0.24,0.01,0.1,0.66
Rayman Legends,2013,Platform,Ubisoft,0.14,0.38,0,0.14,0.66
Fist of the North Star: Ken's Rage,2010,Action,Ubisoft Annecy,0.06,0.03,0.55,0.02,0.66
Tiger Woods PGA Tour 09,2008,Sports,Electronic Arts,0.34,0.22,0,0.1,0.66
NHL 13,2012,Sports,Electronic Arts,0.33,0.22,0,0.1,0.65
Tom Clancy's EndWar,2008,Strategy,Ubisoft,0.32,0.22,0.01,0.1,0.65
Dead or Alive 5,2012,Fighting,Tecmo Koei,0.23,0.15,0.2,0.07,0.65
Dragon Age: Inquisition,2014,Role-Playing,Electronic Arts,0.26,0.23,0.05,0.1,0.65
Sengoku Basara: Samurai Heroes,2010,Action,Capcom,0.17,0.04,0.4,0.03,0.65
Aliens: Colonial Marines,2013,Shooter,Sega,0.2,0.31,0,0.13,0.64
Test Drive Unlimited 2,N/A,Racing,Atari,0.16,0.35,0.01,0.12,0.64
Lost Planet: Extreme Condition,2008,Shooter,Capcom,0.31,0.17,0.07,0.09,0.64
NieR,2010,Role-Playing,Square Enix,0.17,0.2,0.2,0.07,0.64
Sega Rally Revo,2007,Racing,Sega,0.07,0.43,0,0.14,0.64
White Knight Chronicles II,2010,Role-Playing,Sony Computer Entertainment,0.23,0.09,0.27,0.05,0.64
Wolfenstein,2009,Shooter,Activision,0.25,0.28,0,0.11,0.64
Start the Party!,2010,Misc,Sony Computer Entertainment,0.07,0.42,0,0.14,0.64
NBA Live 08,2007,Sports,Electronic Arts,0.56,0.02,0.01,0.05,0.64
Middle-Earth: Shadow of Mordor,2014,Action,Warner Bros. Interactive Entertainment,0.2,0.33,0.01,0.1,0.64
F1 2013,2013,Racing,Codemasters,0.01,0.45,0.03,0.15,0.63
Tony Hawk's Project 8,2006,Sports,Activision,0.3,0.23,0.01,0.1,0.63
Disney Universe,2011,Action,Disney Interactive Studios,0.3,0.23,0,0.09,0.63
Guitar Hero: Metallica,2009,Misc,Activision,0.28,0.24,0,0.1,0.63
Just Dance 3,2011,Misc,Ubisoft,0.33,0.21,0,0.09,0.63
Wet,2009,Shooter,Bethesda Softworks,0.22,0.27,0.01,0.11,0.63
Vanquish,2010,Shooter,Sega,0.21,0.22,0.11,0.09,0.62
Sacred 2: Fallen Angel,2009,Role-Playing,Deep Silver,0.22,0.23,0.08,0.09,0.62
Pro Evolution Soccer 2015,2014,Sports,Konami Digital Entertainment,0.1,0.23,0.22,0.08,0.62
Dead Island: Riptide,2013,Action,Deep Silver,0.26,0.2,0.07,0.09,0.62
Warriors Orochi 3,2011,Action,Ubisoft Annecy,0,0.04,0.57,0.01,0.62
Metal Gear Solid V: Ground Zeroes,2014,Action,Konami Digital Entertainment,0.14,0.14,0.27,0.06,0.62
Dragon Ball Z: Ultimate Tenkaichi,2011,Fighting,Namco Bandai Games,0.27,0.18,0.09,0.08,0.62
Formula 1: Championship Edition,2006,Racing,Sony Computer Entertainment,0,0.57,0.04,0,0.61
NBA 2K9,2008,Sports,Take-Two Interactive,0.56,0,0,0.05,0.61
Dynasty Warriors 8,2013,Action,Tecmo Koei,0.12,0.11,0.34,0.05,0.61
Yakuza: Dead Souls,2011,Shooter,Sega,0.09,0.07,0.42,0.03,0.61
Tony Hawk: RIDE,2009,Sports,Activision,0.38,0.15,0,0.08,0.6
Alice: Madness Returns,2011,Adventure,Electronic Arts,0.22,0.25,0.04,0.09,0.6
XCOM: Enemy Unknown,2012,Strategy,Take-Two Interactive,0.24,0.25,0,0.11,0.6
NHL 11,2010,Sports,Electronic Arts,0.4,0.13,0,0.07,0.6
The Fight: Lights Out,2010,Fighting,Sony Computer Entertainment,0.29,0.22,0,0.09,0.6
Kane & Lynch 2: Dog Days,2010,Shooter,Square Enix,0.17,0.28,0.05,0.1,0.59
Yakuza 5,2012,Action,Sega,0,0,0.59,0,0.59
NHL 12,2011,Sports,Electronic Arts,0.36,0.16,0,0.07,0.59
Tales of Zestiria,2015,Role-Playing,Namco Bandai Games,0.05,0.09,0.42,0.03,0.59
Zumba Fitness,2010,Sports,505 Games,0.28,0.21,0,0.09,0.59
Doom 3 BFG Edition,2012,Shooter,Bethesda Softworks,0.26,0.22,0,0.1,0.59
NCAA Football 09,2008,Sports,Electronic Arts,0.54,0,0,0.04,0.58
JoJo's Bizarre Adventure: All Star Battle,2013,Fighting,Namco Bandai Games,0.05,0.02,0.5,0.01,0.58
WWE 2K16,2015,Sports,Take-Two Interactive,0.21,0.27,0,0.09,0.58
Rock Band 3,2010,Misc,MTV Games,0.43,0.09,0,0.06,0.58
Disgaea 4: A Promise Unforgotten,2011,Role-Playing,Nippon Ichi Software,0.27,0.11,0.14,0.06,0.58
BlazBlue: Calamity Trigger,2009,Fighting,PQube,0.36,0.1,0.06,0.06,0.58
MLB 11: The Show,2011,Sports,Sony Computer Entertainment,0.54,0,0,0.04,0.58
NHL 10,2009,Sports,Electronic Arts,0.38,0.12,0,0.07,0.58
Ratchet & Clank: Quest for Booty,2008,Platform,Sony Computer Entertainment,0,0.53,0,0.04,0.58
Top Spin 3,2008,Action,Take-Two Interactive,0.08,0.37,0,0.12,0.57
Enslaved: Odyssey to the West,2010,Action,Namco Bandai Games,0.24,0.24,0.01,0.09,0.57
3D Dot Game Heroes,2009,Role-Playing,SouthPeak Games,0.36,0.12,0.03,0.07,0.57
Spec Ops: The Line,2012,Shooter,Take-Two Interactive,0.19,0.25,0.04,0.09,0.57
NHL 14,2013,Sports,Electronic Arts,0.28,0.19,0,0.09,0.57
Tom Clancy's HAWX,2009,Action,Ubisoft,0.21,0.22,0.05,0.09,0.57
God of War: Origins Collection,2011,Action,Sony Computer Entertainment,0.39,0.08,0.02,0.06,0.56
Dragon Ball: XenoVerse,2015,Fighting,Namco Bandai Games,0.15,0.2,0.14,0.07,0.55
Sly Cooper: Thieves in Time,2013,Platform,Sony Computer Entertainment Europe,0.35,0.13,0,0.08,0.55
Tiger Woods PGA Tour 13,2012,Sports,Electronic Arts,0.24,0.22,0,0.09,0.55
Legends of WrestleMania,2009,Fighting,THQ,0.3,0.17,0,0.07,0.55
F.E.A.R.,2007,Shooter,Vivendi Games,0.18,0.27,0,0.1,0.55
NBA 2K8,2007,Sports,Take-Two Interactive,0.5,0.01,0,0.05,0.55
Time Crisis: Razing Storm,2010,Shooter,Namco Bandai Games,0.18,0.21,0.07,0.08,0.55
Dynasty Warriors: Gundam 3,2010,Action,Tecmo Koei,0.11,0.05,0.36,0.02,0.55
LEGO The Hobbit,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.32,0,0.1,0.54
NBA Live 10,2009,Sports,Electronic Arts,0.46,0.03,0.01,0.05,0.54
Sonic & All-Stars Racing Transformed,2012,Racing,Sega,0.08,0.33,0.01,0.11,0.54
Michael Jackson: The Experience,2011,Misc,Ubisoft,0.25,0.2,0,0.08,0.54
LEGO Dimensions,2015,Action,Warner Bros. Interactive Entertainment,0.15,0.3,0,0.09,0.54
Kidou Senshi Gundam: Extreme VS,2011,Fighting,Namco Bandai Games,0,0,0.54,0,0.54
Tales of Symphonia,2013,Role-Playing,Namco Bandai Games,0.21,0.13,0.13,0.06,0.54
Terminator Salvation,2009,Shooter,Warner Bros. Interactive Entertainment,0.13,0.29,0.01,0.11,0.54
Cars 2,2011,Racing,Disney Interactive Studios,0.22,0.23,0,0.09,0.54
Dragon's Crown,2013,Role-Playing,Nippon Ichi Software,0.25,0.07,0.17,0.05,0.53
SingStar Dance,2010,Misc,Sony Computer Entertainment,0.09,0.32,0,0.12,0.53
Bulletstorm,2011,Shooter,Electronic Arts,0.23,0.2,0.01,0.08,0.53
Stuntman: Ignition,2007,Racing,THQ,0.17,0.26,0,0.1,0.53
The Walking Dead: Survival Instinct,2013,Shooter,Activision,0.28,0.17,0,0.08,0.53
Way of the Samurai 3,2008,Action,Gamebridge,0.18,0.08,0.22,0.04,0.52
NBA Live 09,2008,Sports,Electronic Arts,0.46,0,0.02,0.04,0.52
DC Universe Online,2011,Role-Playing,Sony Online Entertainment,0.35,0.12,0,0.06,0.52
Ratatouille,2007,Action,THQ,0.09,0.32,0,0.11,0.52
Kung Fu Panda,2008,Action,Activision,0.21,0.21,0,0.09,0.52
Lair,2007,Action,Sony Computer Entertainment,0.36,0.04,0.08,0.04,0.52
Madden NFL 07,2006,Sports,Electronic Arts,0.47,0,0.01,0.04,0.52
Prince of Persia Trilogy,2010,Action,Ubisoft,0.17,0.25,0,0.09,0.51
"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",2010,Shooter,Activision,0.24,0.19,0,0.08,0.51
Lost: Via Domus,2008,Action,Ubisoft,0.19,0.23,0,0.09,0.51
R.U.S.E.,2010,Strategy,Ubisoft,0.18,0.22,0.02,0.09,0.51
Disgaea 3: Absence of Justice,2008,Role-Playing,Square Enix,0.32,0.04,0.11,0.04,0.51
Wolfenstein: The New Order,2014,Shooter,Bethesda Softworks,0.14,0.25,0.02,0.09,0.51
Tiger Woods PGA Tour 07,2006,Sports,Electronic Arts,0.31,0.12,0,0.07,0.5
Atelier Rorona: Alchemist of Arland,2009,Role-Playing,Nippon Ichi Software,0.22,0.12,0.11,0.05,0.5
Monster Hunter Freedom 2,2011,Role-Playing,Capcom,0,0,0.5,0,0.5
Bleach: Soul Resurreccion,2011,Fighting,Nippon Ichi Software,0.27,0.11,0.07,0.05,0.5
The Saboteur,2009,Action,Electronic Arts,0.2,0.22,0,0.08,0.5
Dynasty Warriors: Gundam 2,2008,Action,Namco Bandai Games,0.09,0.07,0.32,0.03,0.5
Epic Mickey 2: The Power of Two,2012,Action,Disney Interactive Studios,0.21,0.2,0,0.08,0.5
MotorStorm: Apocalypse,2011,Racing,Sony Computer Entertainment,0.21,0.2,0,0.08,0.49
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,2015,Action,Square Enix,0,0,0.49,0,0.49
Terraria,2013,Action,505 Games,0.07,0.26,0.09,0.07,0.49
F1 2014,2014,Racing,Codemasters,0.07,0.31,0.02,0.08,0.49
Battlefield: Hardline,2015,Shooter,Electronic Arts,0.12,0.23,0.07,0.07,0.49
F.E.A.R. 2: Project Origin,2009,Shooter,Warner Bros. Interactive Entertainment,0.19,0.21,0.01,0.08,0.49
Two Worlds II,2011,Role-Playing,Unknown,0.26,0.11,0.06,0.05,0.48
Dynasty Warriors Gundam,2007,Action,Tecmo Koei,0.14,0.01,0.31,0.02,0.48
Sonic the Hedgehog,N/A,Platform,N/A,0,0.48,0,0,0.48
Dark Sector,2008,Shooter,D3Publisher,0.23,0.16,0.01,0.07,0.47
Naruto Shippuden: Ultimate Ninja Storm Revolution,2014,Fighting,Namco Bandai Games,0.15,0.16,0.09,0.08,0.47
Deadpool,2013,Action,Activision,0.23,0.17,0,0.08,0.47
Silent Hill: Downpour,2012,Action,Konami Digital Entertainment,0.21,0.16,0.04,0.06,0.47
Disney Infinity 3.0,2015,Action,Disney Interactive Studios,0.14,0.25,0,0.08,0.47
MX vs. ATV: Alive,2011,Racing,THQ,0.24,0.15,0,0.07,0.47
MX vs. ATV Untamed,2007,Racing,THQ,0.35,0.06,0,0.05,0.46
F.E.A.R. 3,2011,Shooter,Warner Bros. Interactive Entertainment,0.21,0.17,0.01,0.07,0.46
"Warhammer 40,000: Space Marine",2011,Shooter,THQ,0.13,0.25,0,0.09,0.46
The Legend of Spyro: Dawn of the Dragon,2008,Platform,Vivendi Games,0.19,0.19,0,0.08,0.46
Virtua Tennis 4,2011,Sports,Sega,0.09,0.25,0.03,0.09,0.46
Star Wars The Clone Wars: Republic Heroes,2009,Action,LucasArts,0.19,0.19,0,0.07,0.46
Farming Simulator 2015,2015,Simulation,Koch Media,0.11,0.28,0,0.07,0.46
Hyperdimension Neptunia,2010,Role-Playing,Tecmo Koei,0.22,0.11,0.07,0.05,0.46
Red Faction: Armageddon,2011,Shooter,THQ,0.2,0.16,0.03,0.07,0.46
DanceStar Party,2011,Misc,Sony Computer Entertainment,0,0.35,0,0.1,0.46
Tales of Vesperia,2009,Role-Playing,Namco Bandai Games,0,0,0.45,0,0.45
Spider-Man: Shattered Dimensions,2010,Action,Activision,0.26,0.13,0,0.06,0.45
Pro Evolution Soccer 2016,2015,Sports,Konami Digital Entertainment,0.08,0.18,0.15,0.05,0.45
SingStar Queen,2009,Misc,Sony Computer Entertainment,0.11,0.26,0,0.08,0.45
Eternal Sonata,2008,Role-Playing,Atari,0.19,0.13,0.07,0.06,0.45
Tony Hawk's Proving Ground,2007,Sports,Activision,0.36,0.05,0,0.05,0.45
Payday 2,2013,Shooter,505 Games,0.21,0.15,0,0.08,0.44
Metro: Last Light,2013,Action,Deep Silver,0.14,0.2,0.03,0.08,0.44
Ninja Gaiden 3,2012,Action,Tecmo Koei,0.19,0.1,0.11,0.05,0.44
Naughty Bear,2010,Action,505 Games,0.18,0.18,0,0.07,0.44
Just Dance 4,2012,Misc,Ubisoft,0.26,0.12,0,0.06,0.44
Alpha Protocol,2010,Role-Playing,Sega,0.19,0.18,0,0.07,0.43
Atelier Totori: The Adventurer of Arland,2010,Role-Playing,Nippon Ichi Software,0.12,0.07,0.21,0.03,0.43
Zone of the Enders HD Collection,2012,Simulation,Konami Digital Entertainment,0.21,0.08,0.09,0.05,0.43
Def Jam Icon,2007,Action,Electronic Arts,0.16,0.19,0,0.08,0.43
TRON: Evolution,2010,Action,Disney Interactive Studios,0.27,0.1,0,0.05,0.43
LEGO Rock Band,2009,Misc,Warner Bros. Interactive Entertainment,0.24,0.13,0,0.06,0.42
Green Day: Rock Band,2010,Misc,MTV Games,0.19,0.16,0,0.07,0.42
Tom Clancy's HAWX 2,2010,Action,Ubisoft,0.21,0.12,0.03,0.05,0.42
Harry Potter and the Deathly Hallows - Part 1,2010,Action,Electronic Arts,0.13,0.21,0,0.08,0.42
WWE All Stars,2011,Fighting,THQ,0.16,0.18,0,0.07,0.42
Katamari Forever,2009,Puzzle,Namco Bandai Games,0.26,0.05,0.06,0.04,0.42
Cars: Mater-National Championship,2007,Racing,THQ,0.37,0.01,0,0.03,0.41
Destiny: The Taken King,2015,Shooter,Activision,0.16,0.17,0.02,0.06,0.41
BlazBlue: Continuum Shift,2010,Fighting,PQube,0.21,0.08,0.09,0.04,0.41
Mass Effect Trilogy,2012,Action,Electronic Arts,0.37,0,0,0.04,0.41
UEFA Euro 2008 Austria-Switzerland,2008,Sports,Electronic Arts,0.08,0.27,0,0.06,0.41
Transformers: Fall of Cybertron,2012,Action,Activision,0.19,0.15,0,0.07,0.41
Monopoly Streets,2010,Misc,Electronic Arts,0.16,0.18,0,0.07,0.41
TNA iMPACT!,2008,Fighting,Midway Games,0.22,0.12,0,0.06,0.41
Asura's Wrath,2012,Action,Capcom,0.18,0.12,0.06,0.05,0.41
Disney Sing It! High School Musical 3: Senior Year,2008,Misc,Disney Interactive Studios,0.08,0.26,0,0.07,0.4
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",2007,Action,Activision,0.32,0.04,0.01,0.04,0.4
Sega Superstars Tennis,2008,Sports,Sega,0.13,0.2,0,0.08,0.4
Wall-E,2008,Platform,THQ,0.12,0.21,0,0.08,0.4
Thief (2014),2014,Action,Square Enix,0.1,0.2,0.02,0.08,0.4
Cabela's Big Game Hunter 2010,2009,Sports,Activision Value,0.37,0,0,0.03,0.4
Iron Man 2,2010,Action,Sega,0.14,0.19,0,0.07,0.4
Condemned 2: Bloodshot,2008,Action,Sega,0.17,0.16,0,0.07,0.4
Silent Hill: Homecoming,N/A,Action,Konami Digital Entertainment,0.18,0.15,0,0.06,0.4
Armored Core V,2012,Simulation,Namco Bandai Games,0.09,0.04,0.24,0.02,0.4
NBA Jam,2010,Sports,Electronic Arts,0.22,0.12,0,0.06,0.4
Just Dance 2014,2013,Misc,Ubisoft,0.17,0.15,0,0.07,0.39
GRID 2,2013,Racing,Codemasters,0.07,0.23,0.01,0.09,0.39
Skylanders: SuperChargers,2015,Action,Activision,0.15,0.18,0,0.06,0.39
Dungeon Siege III,2011,Role-Playing,Square Enix,0.17,0.14,0.03,0.06,0.39
Viking: Battle for Asgard,2008,Action,Sega,0.14,0.18,0,0.07,0.39
Metal Gear Solid: The Legacy Collection,2013,Adventure,Konami Digital Entertainment,0.31,0.01,0.03,0.05,0.39
MLB 15: The Show,2015,Sports,Sony Computer Entertainment,0.3,0.01,0,0.07,0.39
Robert Ludlum's The Bourne Conspiracy,N/A,Action,Vivendi Games,0.18,0.14,0,0.06,0.39
Marvel: Ultimate Alliance,2006,Role-Playing,Activision,0.33,0.02,0,0.04,0.39
MotoGP 08,2008,Racing,Capcom,0.07,0.24,0,0.08,0.39
Tiger Woods PGA Tour 14,2013,Sports,Electronic Arts,0.16,0.15,0,0.07,0.39
MLB 14: The Show,2014,Sports,Sony Computer Entertainment America,0.35,0,0,0.04,0.39
Virtua Tennis 2009,2009,Sports,Sega,0.09,0.23,0,0.07,0.38
Disney Sing It,2008,Misc,Disney Interactive Studios,0.27,0.07,0,0.04,0.38
Get Fit with Mel B,2010,Sports,Black Bean Games,0.15,0.17,0,0.07,0.38
Skate,2007,Sports,Electronic Arts,0.29,0.05,0,0.04,0.38
NCAA Football 08,2007,Sports,Electronic Arts,0.35,0,0,0.03,0.38
NHL 15,2014,Sports,Electronic Arts,0.21,0.11,0,0.06,0.38
NBA 2K7,2006,Sports,Take-Two Interactive,0.3,0.04,0,0.04,0.38
EA Sports MMA,2010,Fighting,Electronic Arts,0.16,0.15,0.01,0.06,0.38
FIFA 17,2016,Sports,Electronic Arts,0.02,0.29,0.01,0.05,0.38
Mobile Suit Gundam: Extreme VS Full Boost,2014,Fighting,Namco Bandai Games,0,0,0.38,0,0.38
The House of the Dead: Overkill - Extended Cut,2011,Shooter,Sega,0.15,0.17,0,0.06,0.38
Alien: Isolation,2014,Shooter,Sega,0.12,0.19,0,0.07,0.37
SAW,2009,Action,Konami Digital Entertainment,0.13,0.17,0,0.07,0.37
Command & Conquer: Red Alert 3 Ultimate Edition,2009,Strategy,Electronic Arts,0.14,0.17,0,0.06,0.37
Bionic Commando,2009,Platform,Capcom,0.12,0.17,0.01,0.07,0.37
Transformers: Dark of the Moon,2011,Action,Activision,0.11,0.19,0,0.07,0.37
Earth Defense Force 2025,2013,Shooter,D3Publisher,0.04,0.03,0.27,0.02,0.36
Guitar Hero: Smash Hits,2009,Misc,Activision,0.2,0.11,0,0.05,0.36
Dark Void,2010,Action,Capcom,0.18,0.12,0,0.06,0.36
James Bond 007: Legends,2012,Shooter,Activision,0.11,0.17,0,0.07,0.36
Ryu Ga Gotoku Kenzan!,2008,Adventure,Sega,0,0,0.36,0,0.36
Defiance,2013,Shooter,Trion Worlds,0.19,0.11,0,0.05,0.36
Monopoly,2008,Misc,Electronic Arts,0.25,0.06,0,0.04,0.36
Remember Me,2013,Action,Capcom,0.1,0.18,0,0.07,0.35
Vancouver 2010 - The Official Video Game of the Olympic Winter Games,2010,Sports,Sega,0.09,0.2,0,0.07,0.35
Mini Ninjas,2009,Action,Eidos Interactive,0.14,0.16,0,0.06,0.35
Pac-Man All-Stars,2011,Fighting,Namco Bandai Games,0.2,0.08,0.04,0.04,0.35
Sniper: Ghost Warrior 2,2013,Shooter,City Interactive,0.05,0.19,0.03,0.07,0.35
